,Water_(g),Energy_(kcal),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_(µg),Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
Riboflavin_(mg),-0.26457486362196025,0.15421848946870134,0.2135124705033982,-0.03155415540222556,0.14857975626268585,0.22038283892186736,0.1522241275854182,0.1150674687690718,0.22018806380389386,0.4892359529219855,0.2257991264107853,0.22759335902423597,0.19593151507208292,0.04834922756812419,0.3695449875421637,0.30836567299638373,0.10513997788821414,0.14323316171170034,0.19376593083693386,0.6240622422038381,1.0,0.739320103976089,0.4651410683462105,0.578069606111322,0.612879143963396,0.529919751021266,0.25065740967644123,0.5724139910136496,0.15122210673861297,0.43990880016766953,0.29479053741329675,0.32696602545765946,-0.00893242313842479,0.004424115638815242,0.019385129280186368,-0.014789068410817454,0.01075457167708454,0.15723898112913992,0.0914605549572587,0.012597510634805907,-0.028601496968974165,-0.026885414473323727,-0.016953144671787233,0.1293082817158456
Niacin_(mg),-0.2752586086594749,0.17428161275939466,0.39406003523805405,-0.018253527286599392,0.12281477052623202,0.16066300850808152,0.1286824977516485,0.020496428971544463,0.1303413580282588,0.48719547983608513,0.2738265985808338,0.26395852804318914,0.20230272759615123,0.02104209482873735,0.47747474779719795,0.1448468793169193,0.09792641312908273,0.18374587676070578,0.17620150442579965,0.5917336284225921,0.739320103976089,1.0,0.48080613155342133,0.7146210012626546,0.5592667685219382,0.5276774451404755,0.12590609929862942,0.5326036221291686,0.1648591573218378,0.28038701955317663,0.09699950048660821,0.15702505672534636,-0.02400838660744908,-0.038896079377305354,0.005342438848227188,-0.019221808188404136,-0.03373133312447401,0.1944619861515688,0.10263951949332131,-0.03848110690475628,-0.041443208995010576,0.007742169461138501,-0.006826228875718621,0.08317914006717245
Panto_Acid_mg),-0.0923649230617912,0.0618258626802973,0.23816670834601228,0.00860948242484109,0.08998369692600508,0.001544149007879039,0.0671628145113236,-0.01607991478851631,0.1553576494918258,0.22376378357645055,0.2333481882047381,0.22751087566737332,0.14552721447849212,-0.0027266231913311723,0.36992645397283447,0.2888233930739787,0.23429315715239166,0.1566205593051977,0.06929387638022824,0.28785449583203615,0.4651410683462105,0.48080613155342133,1.0,0.40533786064248595,0.3096438039917329,0.24281590977302642,0.24201482355685336,0.3012891669757027,0.2266970707969929,0.35391945465969465,0.16966361105246075,0.23261502503035153,-0.0060170691892832895,-0.007671416004124969,0.0035767172708084244,0.0010682455495151103,-0.014746872349450595,0.31877197032253807,0.07751902849158727,-0.011291569681632582,-0.006600451959984444,0.011143163480414517,0.014886520949166617,0.18057971619413973
Vit_B6_(mg),-0.22837606945964498,0.11925103375510611,0.24422338825506817,-0.041971839218664805,0.11533306105771929,0.17986958138988832,0.23515098977895854,0.07363977421865461,0.17920140038951934,0.47634670028695303,0.2973701154522258,0.2221746746832913,0.21343252676459543,-0.005387488845383188,0.4486657293139712,0.12163472998742669,0.06333012890093638,0.11320100699124265,0.23281009738704617,0.41109276012887935,0.578069606111322,0.7146210012626546,0.40533786064248595,1.0,0.5674291196256211,0.5393563556414104,0.11524527704433778,0.5392392929955049,0.14741232023865708,0.2640258278730597,0.14876784185061492,0.12244212343556604,0.010099942283216245,0.044704898104891394,0.05789558881033234,-0.021820606188410516,0.024571314296566893,0.28816634024424,0.10460995883051935,0.025314292528422617,-0.05961065958542583,-0.024056262887573995,-0.007303596034462147,0.03453471051112496
Folate_Tot_(µg),-0.3266568959824078,0.1843940847685884,0.008987291341947529,-0.04943591821964967,0.11795517672221843,0.3809817762284858,0.30601315350971076,0.17201146156963454,0.163921680499112,0.5362621792587071,0.28124700814773185,0.14455024516317314,0.12869221755540897,0.04225563152057317,0.34238507816717617,0.14710319150949572,0.05077243747931578,0.02156375970886988,0.06692937620908405,0.5768421029157629,0.612879143963396,0.5592667685219382,0.3096438039917329,0.5674291196256211,1.0,0.803106025816183,0.46584456954683723,0.8925114857838791,0.021002267758512348,0.1733712424554336,0.11176442818513903,0.12201867006318239,-0.005112177498082469,0.011788213367758144,-0.00047003389319206465,-0.01104525643790475,0.045429178073299076,0.2065396994976904,0.07869034304474141,0.04295914629182077,-0.06410800336065979,-0.05128450539500252,0.019129838903319468,-0.032705980823872494
Folic_Acid_(µg),-0.24659277080336248,0.13900331425569423,-0.03048937705506127,-0.04797924993487592,0.08213824878714229,0.30988455847717966,0.15692686443335147,0.18332415165706137,0.132554718421977,0.4487079989962612,0.1324175880599574,0.07064237985234044,0.012370454920548807,0.04270447798183539,0.3171118360520352,0.02699984081181323,0.0420638499179432,0.019726124386167766,0.04860287668147987,0.4861878312913611,0.529919751021266,0.5276774451404755,0.24281590977302642,0.5393563556414104,0.803106025816183,1.0,0.05177476160923365,0.9506262007923095,-0.014225498218280801,0.12071361666308826,0.029134862803973878,0.052122326516332966,-0.00807900796040881,-0.01698730993841368,-0.008228362452573202,-0.010601308115354098,0.014085585237794074,0.18041340382935242,0.09153319385412266,-0.012235194815922133,-0.04347289117062851,-0.04366435954786804,-0.01751882216285841,-0.051737349515756266
Food_Folate_(µg),-0.1230616690266009,0.051112668789535076,0.11710477582922339,-0.02943654553323684,0.11994003236124032,0.09961147124168004,0.3205268329496415,-0.04900976204470415,0.10520142506310069,0.18427976879234154,0.37767536799795554,0.18653394495929423,0.28531820789589146,-0.011156290024541804,0.08211032953437226,0.3156131675138158,0.046722373399452906,0.06117693500346113,0.04832073473385212,0.2660235602189584,0.25065740967644123,0.12590609929862942,0.24201482355685336,0.11524527704433778,0.46584456954683723,0.05177476160923365,1.0,0.3523492488666866,0.1255392654792158,0.14571636691711307,0.18891990258106067,0.18464454357568183,0.011938012234923145,0.0723194314870614,0.015170079578717147,0.0006408296409634997,0.09290022535784717,0.057523951155655534,-0.015253585567769842,0.13605200189649955,-0.06569918853210603,-0.02426702268776505,0.03804989946455233,0.05377999373030097
Folate_DFE_(µg),-0.26663289837633436,0.14398596781782091,0.008249176670801588,-0.05496261426875115,0.1140389891632857,0.3186374824373804,0.24297730590807448,0.15481677637980207,0.15391809439449042,0.47837633098840554,0.23851300771477293,0.12346792666275389,0.09934377717265644,0.03652387485758795,0.32268973303252535,0.12184543214177085,0.05342812859432028,0.037772080926853885,0.060276384460488795,0.5370312295067553,0.5724139910136496,0.5326036221291686,0.3012891669757027,0.5392392929955049,0.8925114857838791,0.9506262007923095,0.3523492488666866,1.0,0.026556786475576487,0.1562663798023308,0.08235158926232773,0.10596721702355115,-0.0036736665786186173,0.006719877879902802,-0.003020113645014663,-0.009510926397564496,0.041983041393521825,0.18489247351414836,0.08109109666560206,0.03061497923105699,-0.06124906200258275,-0.04881697384630843,-0.005224115822276048,-0.03124992062042271
Choline_Tot_ (mg),-0.01487385277546199,0.038677464317508126,0.40790132106139576,0.04882427757336394,0.0690656017204821,-0.17022522553526317,-0.06727930810572387,-0.07304284906891434,0.022944962033253878,0.03429749566959516,0.07378609618520941,0.22522187548775338,0.1391903548890111,0.013640702141590107,0.23715996581179238,0.16329101368091228,0.01427905009862168,0.25944491100728106,-0.022088225497580428,0.021536251512407636,0.15122210673861297,0.1648591573218378,0.2266970707969929,0.14741232023865708,0.021002267758512348,-0.014225498218280801,0.1255392654792158,0.026556786475576487,1.0,0.18801713070789747,0.04180383311280912,0.10459333921677685,-0.006856583673757803,-0.015660948604245658,0.005259237522277133,-0.010879378822869044,0.008280092996823115,0.03423473902261887,0.09367164960737166,0.008079921115070466,0.04571396745366165,0.07127781759933792,-0.0063906505499335626,0.38849922372135465
Vit_B12_(µg),0.01320260284169052,-0.013956659388474879,0.2502900312451109,-0.02091414798749037,0.01773634683481399,-0.0981813771818962,-0.05456902183666662,-0.05481194146413879,0.013242775215603502,0.18078593541620597,0.006736444329013436,0.15146806396483975,0.03419158478657746,-0.012434866532998377,0.29732680716769133,0.5776868611919473,0.2418713278449302,0.21659170401177918,0.004037788567481083,0.09860592701310676,0.43990880016766953,0.28038701955317663,0.35391945465969465,0.2640258278730597,0.1733712424554336,0.12071361666308826,0.14571636691711307,0.1562663798023308,0.18801713070789747,1.0,0.43337533263163724,0.5936308577157872,-0.01968256036919577,-0.03296467239655357,-0.012453328459522649,-0.020737136778782368,-0.028742661316504887,0.060210396577280785,0.05103085105508812,-0.03298113598443764,-0.009052254740148475,-0.015518922817189059,-0.04158450494749416,0.322146294855855
