species,source collection,accession no.,scan facility,scaling factor,pixel size
Isolabis usumbarana,NHM London,NHMUK012502601,KIT light source,0.82,2.93
Isolaboides burri,NHM London,NHMUK012502593,KIT light source,0.84,2.86
Karschiella buettneri,MfN Berlin,,KIT light source,0.51,4.71
Karschiella neavi,NHM London,NHMUK012502587,KIT light source,0.33,7.39
Kinesis punctulata,NHM Vienna,,KIT light source,0.91,2.64
Kleter americanus,MfN Berlin,,KIT light source,1,2.4
Labia minor,ZFMK Bonn,,DESY P05,1,1.28
Labidura herculeana,NHM London,NHMUK012502562,KIT light source,0.34,7.06
Labidura japonica,NHM London,NHMUK012502560,KIT light source,0.53,4.6
Labidura riparia,ZFMK Bonn,,DESY P05,0.6,2.13
Marava alluaudi,MNHM Paris,MNHN (EP) 4317,KIT light source,1,2.55
Marava arachidis,NHM Vienna,,KIT light source,1,2.4
Marava feae,MNHM Paris,MNHN (EP) 4318,KIT light source,1,2.4
Metalabis saramaccensis,NHM London,NHMUK012502611,KIT light source,0.72,3.33
Metresura ruficeps,MfN Berlin,,KIT light source,0.95,2.81
Nala lividipes,MfN Berlin,,KIT light source,1,2.4
Nesogaster bakeri,MNHM Paris,MNHN (EP) 4329,KIT light source,1,2.4
Nesogaster dolichus,NHM Vienna,,KIT light source,1,2.4
Nesogaster ruficeps,MfN Berlin,,KIT light source,0.96,2.78
Obelura tamul,NHM London,NHMUK011251296,KIT light source,0.95,2.53
Opisthocosmia centurio,ZSM Munich,,DESY P05,1,5.13
Oreasiobia fedtschenkoi,MfN Berlin,,KIT light source,0.62,3.87
Paracranopygia modesta,NHM London,NHMUK013323028,KIT light source,0.69,3.48
Paracranopygia similis,NHM London,NHMUK013321159,KIT light source,0.49,4.9
Paradiplatys salvazae,NHM London,NHMUK012502582,KIT light source,0.46,5.22
Paratimomenus flavocapitata,ZFMK Bonn,,DESY P05,0.9,1.42
Pareparchus minusculus,NHM London,NHMUK011251294,KIT light source,1,2.4
Parisolabis renschi,MfN Berlin,,KIT light source,0.81,3.29
Pericomus tenuipes,NHM London,NHMUK012502569,KIT light source,0.76,3.16
Proreus fuscipennis,ZFMK Bonn,,DESY P05,0.5,2.56
Proreus ludekingi,ZFMK Bonn,,DESY P05,1,1.28
Proreus simulans,ZFMK Bonn,,DESY P05,1,1.28
Pseudochelidura sinuata,ZFMK Bonn,,DESY P05,1,1.42
Pterygida burgursi,MfN Berlin,,KIT light source,0.98,2.72
Purex remotus,MNHM Paris,MNHN (EP) 4320,KIT light source,0.63,3.81
Pygidicrana americana,ZFMK Bonn,,DESY P05,0.69,1.86
Pyragra fuscata,NHM Vienna,,KIT light source,0.67,3.58
Pyragropsis thoracica,NHM London,NHMUK012502586,KIT light source,0.97,2.47
Sarcinatrix anomalia,NHM London,NHMUK011251018,KIT light source,0.85,2.82
Spongiphora croceipennis,NHM Vienna,,KIT light source,0.66,3.64
Spongovostox masai,NHM London,NHMUK011251004,KIT light source,0.79,3.04
Spongovostox nigroflavidus,NHM London,NHMUK011251006,KIT light source,0.78,3.08
Strongylopsalis cheliduroides,NHM London,NHMUK012502571,KIT light source,0.69,3.48
Strongylopsalis iheringi,MNHM Paris,MNHN (EP) 4330,KIT light source,0.67,3.58
Syntonus neolobophoroides,NHM London,NHMUK011251295,KIT light source,1,2.44
Tagalina burri,ZSM Munich,,DESY P05,1,5.13
Tagalina grandiventris,NHM London,NHMUK012502589,KIT light source,0.3,8
Tagalina semperi,MfN Berlin,,KIT light source,0.49,4.9
Timomenus aeris,MfN Berlin,,KIT light source,1,2.4
Timomenus komarovi,ZFMK Bonn,,DESY P05,1,1.28
Titanolabis colossea,MfN Berlin,,KIT light source,0.48,5.56
Tristanella tuberculata,NHM London,NHMUK011251020,KIT light source,0.93,2.58
Vandex schubotzi,NHM London,NHMUK012502570,KIT light source,0.75,3.2
Vostox brunneipennis,MfN Berlin,,KIT light source,1,2.4
Xeniaria jacobsoni,NHM London,NHMUK012502575,KIT light source,0.5,4.8
Acruroperla atra,P. Zwick,,KIT light source,0.52,2.35
